,ID,trial,image,choice,correct,point,reaction_time
0,Vinny,1,01101itt.png,ask,0,0,6.961183536215685
1,Vinny,2,10010tki.png,steal,0,0,13.990266434848309
2,Vinny,3,01111txx.png,wave,0,0,3.4378193623851985
3,Vinny,4,01110txt.png,ask,1,10,7.606851246440783
4,Vinny,5,01010tki.png,ask,1,20,8.729661217425019
5,Vinny,6,00101iii.png,ask,0,18,2.134332289802842
6,Vinny,7,00011tkk.png,wave,0,16,7.308788869646378
7,Vinny,8,11011txx.png,steal,0,14,5.605238260817714
8,Vinny,9,00111tkx.png,ask,1,24,5.146596637670882
9,Vinny,10,10011tkk.png,wave,0,22,4.600582956452854
10,Vinny,11,01000iii.png,ask,0,20,2.5763390145730227
11,Vinny,12,10110xxt.png,steal,1,30,5.329334260895848
12,Vinny,13,11010txt.png,ask,1,40,2.0430279419524595
13,Vinny,14,00100iii.png,ask,0,38,14.498955130460672
14,Vinny,15,11100ktt.png,run,1,48,5.416017623268999
15,Vinny,16,00010tki.png,ask,1,58,2.862845681142062
16,Vinny,17,00110tki.png,steal,0,56,6.737402434810065
17,Vinny,18,11000iti.png,ask,0,54,4.078063304303214
18,Vinny,19,11101ktt.png,steal,0,52,8.208206840557978
19,Vinny,20,10001iii.png,wave,1,62,1.2564535652054474
20,Vinny,21,01001iii.png,ask,0,60,2.1030177391367033
21,Vinny,22,10100kti.png,steal,0,58,2.292491594213061
22,Vinny,23,10111xxx.png,run,0,56,6.300222608726472
23,Vinny,24,11001itt.png,wave,1,66,4.600770318880677
24,Vinny,25,10101ktt.png,ask,0,64,1.8631693912902847
25,Vinny,26,01100iti.png,ask,0,62,4.564270840608515
26,Vinny,27,11110xxt.png,steal,1,72,1.9519536232110113
27,Vinny,28,10000iii.png,run,0,70,4.199713855050504
28,Vinny,29,11111xxx.png,steal,1,80,1.9285597681300715
29,Vinny,30,01011tkk.png,ask,1,90,3.901814260869287
30,Vinny,31,00001iii.png,wave,1,100,2.0064602899365127
31,Vinny,32,00000iii.png,wave,1,110,1.4783865506760776
32,Vinny,33,00000iii.png,wave,1,120,2.0766460290178657
33,Vinny,34,10001iii.png,wave,1,130,2.250514086917974
34,Vinny,35,00100iii.png,wave,1,140,2.374759420286864
35,Vinny,36,11101ktt.png,wave,0,138,9.56745924637653
36,Vinny,37,00011tkk.png,ask,1,148,8.561611594166607
37,Vinny,38,11100ktt.png,steal,0,146,1.891227362328209
38,Vinny,39,01000iii.png,wave,1,156,2.450162550667301
39,Vinny,40,00001iii.png,wave,1,166,9.765071304282174
