,ID,trial,image,choice,correct,point,reaction_time
0,N.A.,1,00100iii.png,steal,0,0,3.1902294215979055
1,N.A.,2,01101itt.png,wave,1,10,2.799449414247647
2,N.A.,3,11000iti.png,ask,0,8,2.750885449582711
3,N.A.,4,00111tkx.png,run,0,6,2.75063037709333
4,N.A.,5,11111xxx.png,wave,0,4,3.0805125010665506
5,N.A.,6,11110xxt.png,run,0,2,2.2631695134332404
6,N.A.,7,10101ktt.png,wave,0,0,2.717305376078002
7,N.A.,8,11100ktt.png,wave,0,0,2.3683025477221236
8,N.A.,9,01100iti.png,ask,0,0,1.9294501702534035
9,N.A.,10,10000iii.png,run,0,0,3.382383481715806
10,N.A.,11,00101iii.png,steal,0,0,2.9255099943839014
11,N.A.,12,00001iii.png,wave,1,10,2.5699972498696297
12,N.A.,13,11010txt.png,ask,1,20,8.700706643867306
13,N.A.,14,10010tki.png,ask,1,30,2.3916324134916067
14,N.A.,15,00000iii.png,wave,1,40,1.8952180383494124
15,N.A.,16,01011tkk.png,wave,0,38,2.2590382650960237
16,N.A.,17,10110xxt.png,run,0,36,1.545479673310183
17,N.A.,18,10001iii.png,ask,0,34,2.333813951932825
18,N.A.,19,01001iii.png,wave,1,44,3.1892434500623494
19,N.A.,20,11011txx.png,ask,1,54,2.5712753953412175
20,N.A.,21,10100kti.png,run,1,64,2.790125815779902
21,N.A.,22,00110tki.png,steal,0,62,1.9878617913927883
22,N.A.,23,10111xxx.png,steal,1,72,4.704395457170904
23,N.A.,24,11101ktt.png,run,1,82,1.411273002391681
24,N.A.,25,01010tki.png,ask,1,92,1.5881811423460022
25,N.A.,26,01000iii.png,wave,1,102,1.963730997638777
26,N.A.,27,10011tkk.png,ask,1,112,1.8217613087035716
27,N.A.,28,00010tki.png,ask,1,122,1.5718629899201915
28,N.A.,29,01110txt.png,steal,0,120,1.5929389416705817
29,N.A.,30,01111txx.png,steal,0,118,3.3763544934336096
30,N.A.,31,00011tkk.png,ask,1,128,3.736147819668986
31,N.A.,32,11001itt.png,wave,1,138,1.7190876378444955
32,N.A.,33,00110tki.png,wave,0,136,4.323303570155986
33,N.A.,34,10011tkk.png,ask,1,146,1.7258656120393425
34,N.A.,35,11101ktt.png,run,1,156,1.5102142655523494
35,N.A.,36,00100iii.png,steal,0,154,1.9921757644042373
36,N.A.,37,10100kti.png,run,1,164,2.2379094436764717
37,N.A.,38,00101iii.png,run,0,162,1.6633528873790056
38,N.A.,39,10101ktt.png,steal,0,160,2.6522409981116652
39,N.A.,40,11010txt.png,ask,1,170,1.5513240817235783
